,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS
Date,,,,,,,,,,,,,,,,,,
2012-10-29,133.44915771484375,62.37593460083008,,150.85000610351562,66.0,,153.02000427246094,68.0999984741211,,150.02000427246094,65.30000305175781,,151.60000610351562,65.80000305175781,,2996075,96923,
2012-10-30,127.12391662597656,61.2418212890625,,143.6999969482422,64.80000305175781,,153.11000061035156,67.25,,142.25,64.0999984741211,,150.39999389648438,67.0,,7635590,35748,
2012-10-31,128.3889617919922,61.2418212890625,,145.1300048828125,64.80000305175781,,145.39999389648438,65.9000015258789,,142.0,63.650001525878906,,143.25,65.44999694824219,,4215175,37360,
2012-11-01,129.87518310546875,60.911033630371094,,146.80999755859375,64.44999694824219,,147.39999389648438,65.9000015258789,,144.1199951171875,63.5,,144.2100067138672,63.79999923706055,,1562475,26234,
2012-11-02,131.48524475097656,60.67476272583008,,148.6300048828125,64.19999694824219,,149.1999969482422,65.19999694824219,,146.60000610351562,64.0999984741211,,148.02000427246094,64.6500015258789,,2909185,27009,
2012-11-05,131.77716064453125,60.863792419433594,,148.9600067138672,64.4000015258789,,149.88999938964844,64.75,,148.07000732421875,63.349998474121094,,148.60000610351562,64.6500015258789,,1383710,14636,
2012-11-06,133.4403076171875,61.525352478027344,,150.83999633789062,65.0999984741211,,151.3300018310547,66.0,,148.0399932861328,63.599998474121094,,148.0399932861328,64.1500015258789,,2382185,19667,
2012-11-07,137.6865997314453,61.80888366699219,,155.63999938964844,65.4000015258789,,157.0,65.8499984741211,,149.22999572753906,64.44999694824219,,150.2100067138672,65.19999694824219,,4335185,33591,
2012-11-08,135.77577209472656,62.89573669433594,,153.47999572753906,66.55000305175781,,155.39999389648438,67.4000015258789,,152.41000366210938,64.5,,153.8000030517578,65.80000305175781,,3026460,266591,
2012-11-09,133.90916442871094,60.95829772949219,,151.3699951171875,64.5,,154.5800018310547,67.4000015258789,,150.2100067138672,59.5,,153.24000549316406,59.5,,5281625,83576,
2012-11-12,134.58151245117188,60.72203063964844,,152.1300048828125,64.25,,153.1999969482422,65.19999694824219,,150.58999633789062,64.0,,151.60000610351562,64.80000305175781,,1855915,18570,
2012-11-15,133.14837646484375,59.729679107666016,,150.50999450683594,63.20000076293945,,151.44000244140625,64.94999694824219,,148.60000610351562,62.70000076293945,,150.1999969482422,64.94999694824219,,1302145,28271,
