,bill_number,category
285,G0475076,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
286,G0475077,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
287,G0475078,"['BEVERAGE', 'TOBACCO']"
288,G0475080,"['BEVERAGE', 'FOOD', 'FOOD']"
289,G0475081,"['BEVERAGE', 'BEVERAGE', 'TOBACCO']"
290,G0475082,"['BEVERAGE', 'FOOD', 'FOOD']"
291,G0475084,"['BEVERAGE', 'FOOD', 'FOOD']"
292,G0475085,"['BEVERAGE', 'FOOD', 'FOOD']"
293,G0475088,"['BEVERAGE', 'FOOD', 'FOOD', 'MISC']"
294,G0475091,"['BEVERAGE', 'FOOD']"
295,G0475094,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'BEVERAGE']"
296,G0475095,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
297,G0475097,['BEVERAGE']
298,G0475098,['BEVERAGE']
299,G0475101,"['BEVERAGE', 'FOOD', 'FOOD']"
300,G0474959,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
301,G0475103,"['BEVERAGE', 'TOBACCO']"
302,G0475107,"['BEVERAGE', 'FOOD']"
303,G0475108,"['BEVERAGE', 'BEVERAGE', 'TOBACCO', 'TOBACCO']"
304,G0475109,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
305,G0475112,"['BEVERAGE', 'FOOD', 'FOOD']"
306,G0475113,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
307,G0474961,"['BEVERAGE', 'FOOD', 'BEVERAGE']"
308,G0475115,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD']"
309,G0475116,"['BEVERAGE', 'FOOD', 'FOOD']"
310,G0475117,"['BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO']"
311,G0475118,['BEVERAGE']
312,G0475121,"['BEVERAGE', 'TOBACCO', 'TOBACCO']"
313,G0475122,"['BEVERAGE', 'FOOD']"
314,G0475125,"['BEVERAGE', 'TOBACCO']"
315,G0475126,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD', 'TOBACCO', 'TOBACCO']"
316,G0475128,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD']"
317,G0475131,"['BEVERAGE', 'FOOD']"
318,G0474964,['BEVERAGE']
319,G0475133,"['FOOD', 'FOOD', 'FOOD']"
320,G0475135,['FOOD']
321,G0475137,['FOOD']
322,G0475146,"['FOOD', 'FOOD', 'FOOD']"
323,G0475149,"['FOOD', 'FOOD', 'FOOD', 'TOBACCO']"
324,G0475150,['FOOD']
325,G0474965,"['FOOD', 'TOBACCO']"
326,G0474967,"['FOOD', 'FOOD']"
327,G0474970,"['FOOD', 'FOOD']"
328,G0474975,['FOOD']
329,G0474978,['FOOD']
330,G0474984,['FOOD']
331,G0474987,"['FOOD', 'TOBACCO']"
332,G0474992,['FOOD']
333,G0474997,"['FOOD', 'FOOD', 'TOBACCO']"
334,G0474998,"['FOOD', 'TOBACCO', 'TOBACCO']"
335,G0474999,['FOOD']
336,G0475000,"['FOOD', 'FOOD', 'TOBACCO']"
337,G0475006,"['FOOD', 'FOOD']"
338,G0475012,['FOOD']
339,G0475015,"['FOOD', 'TOBACCO', 'TOBACCO']"
340,G0475016,"['FOOD', 'MISC', 'FOOD', 'FOOD']"
341,G0475018,"['FOOD', 'TOBACCO']"
342,G0475019,"['FOOD', 'FOOD']"
343,G0475020,"['FOOD', 'FOOD', 'TOBACCO']"
344,G0475021,"['FOOD', 'TOBACCO']"
345,G0475024,"['FOOD', 'FOOD', 'TOBACCO']"
346,G0475028,"['FOOD', 'FOOD', 'FOOD']"
347,G0475031,"['FOOD', 'TOBACCO', 'BEVERAGE']"
348,G0475039,"['FOOD', 'TOBACCO', 'FOOD', 'BEVERAGE']"
349,G0475042,"['FOOD', 'FOOD', 'BEVERAGE', 'BEVERAGE']"
350,G0475048,"['FOOD', 'FOOD', 'FOOD', 'BEVERAGE']"
351,G0475049,['FOOD']
352,G0475051,"['FOOD', 'FOOD', 'TOBACCO', 'FOOD', 'FOOD']"
353,G0475052,"['FOOD', 'FOOD']"
354,G0475057,"['FOOD', 'FOOD']"
