,index,Item_Desc,Rate
238,238,GNOCCHI CON POMMODORO         ,150.0
239,239,GNOCCHI SUN-DRIED TOM SAUCE   ,250.0
240,240,GOA GIRLS SHOT GLASS          ,187.0
241,241,GOLD FLAKE KING BLUE          ,87.5
242,242,GOLD FLAKE KING RED           ,87.5
243,243,GOLD FLAKE KINGS-BIG          ,73.0
244,244,GOLD FLAKE LIGHTS-BIG         ,73.0
245,245,GOLD FLAKE ULTRA LIGHTS(20)   ,73.0
246,246,GOLDEN DELIGHT 1.1            ,351.0
247,247,GOOEY CHOCOLATE FUDGE         ,65.05128205128206
248,248,GOSSIPS CHARD AUS (BTL)       ,2100.0
249,249,GRAPE FLAVOUR SINGLE          ,232.70171149144255
250,250,GRAPPO SHEESHA                ,450.0
251,251,GREAT LAKES CREAM                   ,145.0
252,252,GREAT LAKES FLOAT W VANILLA         ,52.3758865248227
253,253,GREAT LAKES FLOATS W CHOC           ,51.36666666666667
254,254,GREAT LAKES FRAPPE                  ,110.0
255,255,GREAT LAKES HOOKAH SINGLE           ,295.0
256,256,GREAT LAKES MUG SINGLE              ,142.0
257,257,GREAT LAKES ORGANISER               ,240.0
258,258,GREAT LAKES SHAKE                   ,115.27589743589743
259,259,GREAT LAKES STAMP DAIRY             ,119.0
260,260,GREAT LAKES T-SHIRTS                ,345.7142857142857
261,261,GREAT LAKES-JAVA BLEND (AULAIT)     ,115.0
262,262,GREAT LAKES-JAVA BLEND (REG)        ,95.0
263,263,GREEK GYROS CRUSTINI          ,145.0
264,264,GREEN APPLE FLAVOUR SINGLE    ,232.1993670886076
265,265,GREEN TEA                     ,55.0
266,266,GRENADINE                     ,350.0
267,267,GRILLED CHICKEN SAUSAGES      ,37.903225806451616
268,268,GUATEMALA ANTIGUA (AULAIT)    ,145.0
269,269,GUATEMALA ANTIGUA (REG)       ,125.0
270,270,GUAVA                         ,350.0
271,271,GUERILLA COOL                 ,262.0
272,272,HASH BROWN OMELETTE           ,165.19011406844106
273,273,HAWAIIAN KONA FANCY (AU LAIT) ,185.0
274,274,HAWAIIAN KONA FANCY(REG)      ,165.0
275,275,HAZELNUT FONDUE               ,210.0
276,276,HERBED CHICKEN PIE            ,135.25423728813558
277,277,HERBED CHKN POTATOES & CARROTS,290.0
278,278,HERBED GARDEN PIE             ,115.07874015748031
279,279,HH COOL                       ,262.0
280,280,HOEGAARDEN (GLS)              ,243.1818181818182
281,281,HOEGAARDEN GLS (2+1)          ,700.0
282,282,HOEGAARDEN LTR MUGS (2+1)     ,1300.0
283,283,HOEGAARDEN MUG (1 LITRE)      ,616.6666666666666
284,284,HOEGAARDEN MUG (1/2 LITRE)    ,350.0
285,285,HONEY & MUSTARD GLAZED CHICKEN,153.75
286,286,HONEY MUSTARD CHICKEN         ,175.0
287,287,HONEY ROASTED PEANUT BUTTER CK,55.0
288,288,HONEYGLAZED CHICK & MUSTERD CR,140.0
289,289,HOTDOG WRAP                   ,150.0
290,290,HOUSE BLEND DE CAFFE (AU LAIT),135.0
291,291,HOUSE BLEND DECAFF (REG)      ,115.0
292,292,HOUSEBLEND FULLCITY (AU LAIT) ,115.0
293,293,HOUSEBLEND FULLCITY (REG)     ,95.0
294,294,ICE BERG SHEESHA              ,450.0
295,295,ICE BULL                      ,150.0
296,296,ICE SPICE SHEESHA             ,200.0
297,297,ICED LEMON OR STR CAMOMILE    ,300.0
298,298,INDIA KINGS OCEAN BLUE        ,91.5
299,299,INDIAN PEABERRY (AULAIT)      ,100.0
300,300,INDIAN PEABERRY (REG)         ,80.0
301,301,IRISH COFFEE                  ,125.0
302,302,ITALIAN CAPONATA PANINO       ,125.0
303,303,ITALIAN OMELETTE BREAKFAST    ,130.17316017316017
304,304,J.PCHENET SPARKLING ROSE (BTL),1700.0
305,305,JAIPUR LILY                   ,351.0
306,306,JAISALMER LILY                ,351.0
307,307,JAMAICAN BLUE MT (AU LAIT)    ,185.0
308,308,JAMAICAN BLUE MT (REG)        ,165.0
309,309,JAPANESE YAKITORI WRAP        ,150.0
310,310,JAVA ESTATES (AULAIT)         ,145.0
311,311,JAVA ESTATES (REG)            ,125.0
312,312,JODHPUR LILY                  ,351.0
313,313,JR.CHL AVALANCHE              ,167.46295736316904
314,314,JUICE HOOKAH SINGLE           ,317.5
315,315,JUICY LUCY                    ,200.0
316,316,KENYA AA  (REG)               ,125.0
317,317,KENYA AA (AULAIT)             ,145.0
318,318,KF DRAFT MUG                  ,175.0
319,319,KF DRAUGHT (1/2LTR)           ,125.80717488789237
320,320,KF DRAUGHT (1LTR)             ,234.3360752056404
321,321,KF DRAUGHT PITCHER (2LTR)     ,412.8997867803838
322,322,KHEEMA GHOTALA                ,116.68769716088327
323,323,KIT KAT SHAKE                 ,135.0
324,324,KITSCH BLUE                   ,262.0
325,325,KITSCH PINK                   ,262.0
326,326,KONKAN STRIPE                 ,262.0
327,327,LAMB STEW ALIO OLIO LINGUINI  ,290.0
328,328,LASSI DA GLASS                ,203.504
329,329,LATE HARVEST SULA CHENIN (BTL),479.1666666666667
330,330,LATE HARVEST SULA CHENIN (GLS),192.85714285714286
331,331,LAVA LAVA                     ,150.0
332,332,LEBANESE CHICKEN WRAP         ,161.05263157894737
333,333,LEMON FLAVOUR SINGLE          ,234.1346153846154
334,334,LEMON ICED TEA                ,85.03419972640219
335,335,LEMON INFUSED CHAR GRILLED VEG,151.4406779661017
336,336,LINDT CHOCOLATE SHAKE         ,246.10526315789474
337,337,LINDT HOT CHOCOLATE           ,178.9090909090909
338,338,LOTUS TEA LIGHT HOLDER        ,249.0
339,339,M & M SHAKE                   ,180.0
340,340,MAC N CHEESE                  ,135.0
341,341,MADIBA COOL                   ,262.0
342,342,MAGGI NDL ARRABIATA           ,125.31746031746032
343,343,MAGGI NDL BBQ SAUCE           ,143.84615384615384
344,344,MAGGI NDL BOLOGNESE           ,140.27173913043478
345,345,MAGGI NDL BURMESE CURRY       ,127.77777777777777
346,346,MAGGI NDLCREAM/ CHEE/GARLIC   ,125.3487460815047
347,347,MAGGI NDLTHAI STYLE           ,137.56756756756758
348,348,MAHATMA COOL                  ,262.0
349,349,MAISON PIERRE SAUV MARSAN     ,1700.0
350,350,MALABAR STRIPE                ,262.0
351,351,MANDALA VALLEY CHENIN BLANC(GL,175.0
352,352,MANDALA VALLEY RED ZINFANDEL(G,200.0
353,353,MANGO FLAVOUR SINGLE          ,225.0
354,354,MARINATED CHICKEN & AIOLI     ,175.0
355,355,MARRAKESH HOOKAH SINGLE       ,303.3974358974359
356,356,MASALA CHAI CUTTING           ,42.36347358997314
357,357,MASALA OMELETTE               ,120.0
358,358,MATEUS ROSE PORTUGAL(BTL)     ,2000.0
359,359,MEDITER RANEAN PANINO         ,105.0
360,360,MEXICAN CHILLI CON CARNE WRAP ,150.0
361,361,MEXICAN CHILLY CREPES         ,165.0
362,362,MEZE PLATTER                  ,123.58974358974359
363,363,MIAMI MELONS                  ,86.82250396196514
364,364,MINT FLAVOUR DOUBLE           ,280.0
365,365,MINT FLAVOUR SINGLE           ,231.55110116999313
366,366,MISCHIEF HOOKAH SINGLE        ,263.7837837837838
367,367,MIXED FLAVOUR SINGLE          ,225.0
368,368,MM DAIRY GRAMAPHONE           ,216.0
369,369,MM SALSA SHEESHA              ,450.0
370,370,MOCAFE HOT CHOCOLATE(SF)      ,65.0
371,371,MODEL-P (IRON ASHTRAY)        ,444.0
372,372,MONSOON MALABAR (AULAIT)      ,100.0
373,373,MONSOON MALABAR (REG)         ,80.0
374,374,MOROCCAN MINT TEA             ,45.924202127659576
375,375,MOROCCAN SOY KEBABS           ,150.5681818181818
376,376,MORROCAN SOY KEBABS           ,125.73529411764706
377,377,MOTHERS DAY SPL               ,0.01
378,378,MT. BROWNIE                   ,173.8174273858921
379,379,MUGS - CHIP PRINT             ,115.5
380,380,MUGS - DOTS                   ,75.5
381,381,MUGS - FLAMES                 ,67.0
382,382,MUGS - PATTERN                ,89.0
383,383,MUGS - PLAIN COLOUR           ,67.0
384,384,MUGS - STRIPE PLAIN           ,67.0
385,385,MUGS - TALL PLAIN             ,67.0
386,386,MUGS - TOP BOTTOM             ,58.0
387,387,MUGS WITH CIRCLE DESIGN       ,67.0
388,388,MUMBAI SHOT GLASSES           ,190.0
389,389,MUSHROOM                      ,20.0
390,390,MUSHROOM & CORN               ,25.0
391,391,MUSTARD HONEY MAYO SALAD BOWL ,90.33333333333333
392,392,N R G  HOOKAH                 ,390.4964221824687
393,393,N R G HOOKAH                  ,450.0
394,394,NAPKIN STAND                  ,200.0
395,395,NEW ORLEANS BLUE  (AULAIT)    ,115.0
396,396,NEW ORLEANS BLUE (REG)        ,95.0
397,397,NIRVANA HOOKAH DOUBLE         ,295.0
398,398,NIRVANA HOOKAH SINGLE         ,257.7144899904671
399,399,NON-VEG CLUB WRAP             ,160.07751937984497
400,400,NONVEG PASTA PESTO            ,225.0
401,401,NUTELLA CREPES                ,130.0
402,402,O M G GRILLED BURGER          ,200.15243902439025
403,403,OATMEAL AND RAISIN COOKIES    ,49.470588235294116
404,404,ORANGE ARRABIATA              ,150.9576612903226
405,405,ORANGE FLAVOUR SINGLE         ,239.52991452991452
406,406,ORANGINA  (250ML)             ,50.0
407,407,OREO COOKIE SHAKE             ,145.12066365007541
408,408,PAAN SHEESHA                  ,450.0
409,409,PAN CAKES                     ,75.0
410,410,PARTY CHARGES @ 500/-         ,500.0
411,411,PASTA ALFREDO NONVEG          ,225.6578947368421
412,412,PASTA ALFREDO VEG             ,200.19379844961242
413,413,PASTA ARABIATA NONVEG         ,228.19148936170214
414,414,PASTA ARABIATA VEG            ,200.55555555555554
415,415,PCJ PATTY BURGER              ,175.27777777777777
416,416,PEACH BULL                    ,150.0
417,417,PEACH FLAVOUR SINGLE          ,237.32394366197184
418,418,PEACHES N STRAWBERRIES        ,120.0
419,419,PEPPERMINT TEA                ,65.0
420,420,PESCADO PANINO                ,130.0
421,421,PESTO CREAM                   ,151.5625
422,422,PHILADELPHIA CREAM CHEESECAKE ,155.0
423,423,PHILLYCREAM CHEESE &CHILLY PAN,105.0
424,424,PINK LEMONADE                 ,85.0
425,425,PLAIN  JANE (STRAWBERRY)      ,100.3157894736842
426,426,PLAIN JANE (CHOCOLATE)        ,100.0
427,427,PLAIN JANES (VANILLA)         ,98.10606060606061
428,428,PLAYING CARDS                 ,128.5
429,429,POLENTA & CORN CAKES          ,125.0
430,430,POLLO CON AIOLI               ,180.0
431,431,POLLO PELOTA CON TAMATE SALSA ,190.0
432,432,POTATO WEDGES                 ,40.0
433,433,POUTINE WITH FRIES            ,125.35402097902097
434,434,POUTINE WITH WEDGES           ,164.6904761904762
435,435,PROFESSOR COOL                ,262.0
436,436,PUMPKIN PIE                   ,100.0
437,437,QUA  MINERAL WATER(1000ML)    ,50.0
438,438,QUA  MINERAL WATER(500ML)     ,35.0
439,439,QUESO CROQUETAS FRITOS        ,180.0
440,440,RABAT HOOKAH SINGLE           ,316.68794326241135
441,441,RASPBERRY LITE SHAKE          ,115.0
442,442,RECESSION BEER MUG SHOT GLS   ,184.74
443,443,RED BULL 2+1                  ,250.0
444,444,RED BULL 3+2                  ,375.0
445,445,RED BULL ENERGY DRINK         ,132.36559139784947
446,446,RED BULL SHEESHA              ,450.0
447,447,RED SANGRIA (CARAFE) áááááááá ,814.5833333333334
448,448,RED SANGRIA (GLS)á áááááááááá ,175.0
449,449,RED VELVET CHEESE CAKE        ,100.0
450,450,RED WINE SHEESHA              ,391.83870967741933
451,451,REDBULL HOOKAH + 2REDBULL     ,475.0
452,452,ROAST CHICKEN SALAD           ,195.0
453,453,ROCK THE BOAT TEA LIGHT HOLDER,222.0
454,454,ROCKSTAR TOOTHPICK HOLDER     ,233.57142857142858
455,455,ROCKY ROAD SHAKE              ,135.0
456,456,ROMA TOMATO & JALAPENO CROQUE ,125.0
457,457,ROSE FLAVORS SINGLE           ,225.0
458,458,RULER DIARY                   ,62.0
459,459,RUM N RAISIN CHEESE CAKE      ,150.0
460,460,SAIGON NOODLES                ,85.0
