,items,support,ordered_statistics,base_item,add_item,confidence,lift
32,"frozenset({'CEASAR SALAD BOWL', 'CHICKEN SAUSAGE'})",0.00011431510959961133,"[OrderedStatistic(items_base=frozenset({'CHICKEN SAUSAGE'}), items_add=frozenset({'CEASAR SALAD BOWL'}), confidence=0.26666666666666666, lift=358.8820512820513)]",frozenset({'CHICKEN SAUSAGE'}),frozenset({'CEASAR SALAD BOWL'}),0.26666666666666666,358.8820512820513
33,"frozenset({'CHEDDAR CHEESE', 'MASALA OMELETTE'})",0.00014289388699951415,"[OrderedStatistic(items_base=frozenset({'CHEDDAR CHEESE'}), items_add=frozenset({'MASALA OMELETTE'}), confidence=0.2857142857142857, lift=476.06802721088434)]",frozenset({'CHEDDAR CHEESE'}),frozenset({'MASALA OMELETTE'}),0.2857142857142857,476.06802721088434
34,"frozenset({'CHEDDAR CHEESE', 'MUSHROOM'})",0.00014289388699951415,"[OrderedStatistic(items_base=frozenset({'CHEDDAR CHEESE'}), items_add=frozenset({'MUSHROOM'}), confidence=0.2857142857142857, lift=624.8392857142857), OrderedStatistic(items_base=frozenset({'MUSHROOM'}), items_add=frozenset({'CHEDDAR CHEESE'}), confidence=0.31249999999999994, lift=624.8392857142856)]",frozenset({'CHEDDAR CHEESE'}),frozenset({'MUSHROOM'}),0.2857142857142857,624.8392857142857
35,"frozenset({'CHEDDAR CHEESE', 'SCRAMBLED EGGS'})",0.00015718327569946557,"[OrderedStatistic(items_base=frozenset({'CHEDDAR CHEESE'}), items_add=frozenset({'SCRAMBLED EGGS'}), confidence=0.3142857142857143, lift=75.84256157635468)]",frozenset({'CHEDDAR CHEESE'}),frozenset({'SCRAMBLED EGGS'}),0.3142857142857143,75.84256157635468
36,"frozenset({'JR.CHL AVALANCHE', 'CHOCOLATE ICECREAM'})",0.0002857877739990283,"[OrderedStatistic(items_base=frozenset({'CHOCOLATE ICECREAM'}), items_add=frozenset({'JR.CHL AVALANCHE'}), confidence=0.2857142857142857, lift=6.046222299019395)]",frozenset({'CHOCOLATE ICECREAM'}),frozenset({'JR.CHL AVALANCHE'}),0.2857142857142857,6.046222299019395
37,"frozenset({'COTTAGE CHEESE', 'MUSTARD HONEY MAYO SALAD BOWL'})",0.00012860449829956274,"[OrderedStatistic(items_base=frozenset({'COTTAGE CHEESE'}), items_add=frozenset({'MUSTARD HONEY MAYO SALAD BOWL'}), confidence=0.2571428571428571, lift=299.9228571428571)]",frozenset({'COTTAGE CHEESE'}),frozenset({'MUSTARD HONEY MAYO SALAD BOWL'}),0.2571428571428571,299.9228571428571
38,"frozenset({'ETHOPIAN YIRGACHEFFE (AULAIT)', 'QUA  MINERAL WATER(1000ML)'})",0.00012860449829956274,"[OrderedStatistic(items_base=frozenset({'ETHOPIAN YIRGACHEFFE (AULAIT)'}), items_add=frozenset({'QUA  MINERAL WATER(1000ML)'}), confidence=0.25, lift=5.257061298076923)]",frozenset({'ETHOPIAN YIRGACHEFFE (AULAIT)'}),frozenset({'QUA  MINERAL WATER(1000ML)'}),0.25,5.257061298076923
39,"frozenset({'VANILLA ICECREAM', 'GREAT LAKES SHAKE'})",0.0012431768168957732,"[OrderedStatistic(items_base=frozenset({'VANILLA ICECREAM'}), items_add=frozenset({'GREAT LAKES SHAKE'}), confidence=0.41232227488151657, lift=5.923863157618208)]",frozenset({'VANILLA ICECREAM'}),frozenset({'GREAT LAKES SHAKE'}),0.41232227488151657,5.923863157618208
40,"frozenset({'SCRAMBLED EGGS', 'GRILLED CHICKEN SAUSAGES'})",0.00031436655139893113,"[OrderedStatistic(items_base=frozenset({'GRILLED CHICKEN SAUSAGES'}), items_add=frozenset({'SCRAMBLED EGGS'}), confidence=0.3548387096774193, lift=85.62869855394884)]",frozenset({'GRILLED CHICKEN SAUSAGES'}),frozenset({'SCRAMBLED EGGS'}),0.3548387096774193,85.62869855394884
41,"frozenset({'KHEEMA GHOTALA', 'TOAST BUTTER'})",0.0001857620530993684,"[OrderedStatistic(items_base=frozenset({'TOAST BUTTER'}), items_add=frozenset({'KHEEMA GHOTALA'}), confidence=0.52, lift=114.79697160883282)]",frozenset({'TOAST BUTTER'}),frozenset({'KHEEMA GHOTALA'}),0.52,114.79697160883282
42,"frozenset({'MASALA OMELETTE', 'MUSHROOM'})",0.00011431510959961133,"[OrderedStatistic(items_base=frozenset({'MUSHROOM'}), items_add=frozenset({'MASALA OMELETTE'}), confidence=0.25, lift=416.55952380952385)]",frozenset({'MUSHROOM'}),frozenset({'MASALA OMELETTE'}),0.25,416.55952380952385
43,"frozenset({'MEZE PLATTER', 'VEG PASTA PESTO'})",0.00010002572089965992,"[OrderedStatistic(items_base=frozenset({'VEG PASTA PESTO'}), items_add=frozenset({'MEZE PLATTER'}), confidence=0.33333333333333337, lift=37.44355270197967)]",frozenset({'VEG PASTA PESTO'}),frozenset({'MEZE PLATTER'}),0.33333333333333337,37.44355270197967
44,"frozenset({'SCRAMBLED EGGS', 'MUSHROOM'})",0.00012860449829956274,"[OrderedStatistic(items_base=frozenset({'MUSHROOM'}), items_add=frozenset({'SCRAMBLED EGGS'}), confidence=0.28124999999999994, lift=67.87047413793103)]",frozenset({'MUSHROOM'}),frozenset({'SCRAMBLED EGGS'}),0.28124999999999994,67.87047413793103
45,"frozenset({'RED BULL 3+2', 'SAMBUCA'})",0.00038581349489868826,"[OrderedStatistic(items_base=frozenset({'RED BULL 3+2'}), items_add=frozenset({'SAMBUCA'}), confidence=0.27272727272727276, lift=4.315170698620847)]",frozenset({'RED BULL 3+2'}),frozenset({'SAMBUCA'}),0.27272727272727276,4.315170698620847
46,"frozenset({'SPINACH TEMPURA', 'STUFFED MUSHROOM'})",0.00010002572089965992,"[OrderedStatistic(items_base=frozenset({'SPINACH TEMPURA'}), items_add=frozenset({'STUFFED MUSHROOM'}), confidence=0.5833333333333334, lift=224.30128205128207)]",frozenset({'SPINACH TEMPURA'}),frozenset({'STUFFED MUSHROOM'}),0.5833333333333334,224.30128205128207
47,"frozenset({'PASTA ALFREDO VEG', '3 RED BULL', 'BEER HOOKAH'})",0.00010002572089965992,"[OrderedStatistic(items_base=frozenset({'3 RED BULL', 'BEER HOOKAH'}), items_add=frozenset({'PASTA ALFREDO VEG'}), confidence=0.7000000000000001, lift=379.7472868217055), OrderedStatistic(items_base=frozenset({'PASTA ALFREDO VEG', '3 RED BULL'}), items_add=frozenset({'BEER HOOKAH'}), confidence=0.5, lift=1093.46875), OrderedStatistic(items_base=frozenset({'PASTA ALFREDO VEG', 'BEER HOOKAH'}), items_add=frozenset({'3 RED BULL'}), confidence=0.7777777777777779, lift=219.47759856630827)]","frozenset({'3 RED BULL', 'BEER HOOKAH'})",frozenset({'PASTA ALFREDO VEG'}),0.7000000000000001,379.7472868217055
48,"frozenset({'MIAMI MELONS', '3 RED BULL', 'NIRVANA HOOKAH SINGLE'})",0.00010002572089965992,"[OrderedStatistic(items_base=frozenset({'MIAMI MELONS', '3 RED BULL'}), items_add=frozenset({'NIRVANA HOOKAH SINGLE'}), confidence=0.875, lift=7.2993503397306)]","frozenset({'MIAMI MELONS', '3 RED BULL'})",frozenset({'NIRVANA HOOKAH SINGLE'}),0.875,7.2993503397306
49,"frozenset({'ADD FRIES', 'B.M.T. PANINI', 'LEMON ICED TEA'})",0.00017147266439941698,"[OrderedStatistic(items_base=frozenset({'ADD FRIES', 'LEMON ICED TEA'}), items_add=frozenset({'B.M.T. PANINI'}), confidence=0.30769230769230765, lift=8.265997342388896)]","frozenset({'ADD FRIES', 'LEMON ICED TEA'})",frozenset({'B.M.T. PANINI'}),0.30769230769230765,8.265997342388896
50,"frozenset({'ADD FRIES', 'MASALA CHAI CUTTING', 'B.M.T. PANINI'})",0.00021434083049927125,"[OrderedStatistic(items_base=frozenset({'ADD FRIES', 'MASALA CHAI CUTTING'}), items_add=frozenset({'B.M.T. PANINI'}), confidence=0.36585365853658536, lift=9.828472449791677)]","frozenset({'ADD FRIES', 'MASALA CHAI CUTTING'})",frozenset({'B.M.T. PANINI'}),0.36585365853658536,9.828472449791677
51,"frozenset({'ADD FRIES', 'B.M.T. PANINI', 'NIRVANA HOOKAH SINGLE'})",0.00020005144179931984,"[OrderedStatistic(items_base=frozenset({'ADD FRIES', 'NIRVANA HOOKAH SINGLE'}), items_add=frozenset({'B.M.T. PANINI'}), confidence=0.358974358974359, lift=9.643663566120381)]","frozenset({'ADD FRIES', 'NIRVANA HOOKAH SINGLE'})",frozenset({'B.M.T. PANINI'}),0.358974358974359,9.643663566120381
52,"frozenset({'ADD FRIES', 'B.M.T. PANINI', 'QUA  MINERAL WATER(500ML)'})",0.00010002572089965992,"[OrderedStatistic(items_base=frozenset({'ADD FRIES', 'QUA  MINERAL WATER(500ML)'}), items_add=frozenset({'B.M.T. PANINI'}), confidence=0.38888888888888895, lift=10.447302196630414)]","frozenset({'ADD FRIES', 'QUA  MINERAL WATER(500ML)'})",frozenset({'B.M.T. PANINI'}),0.38888888888888895,10.447302196630414
53,"frozenset({'ADD FRIES', 'TRADITIONAL ITALIAN CRUSTINI', 'B.M.T. PANINI'})",0.00011431510959961133,"[OrderedStatistic(items_base=frozenset({'TRADITIONAL ITALIAN CRUSTINI', 'B.M.T. PANINI'}), items_add=frozenset({'ADD FRIES'}), confidence=0.2962962962962963, lift=27.573680063041763)]","frozenset({'TRADITIONAL ITALIAN CRUSTINI', 'B.M.T. PANINI'})",frozenset({'ADD FRIES'}),0.2962962962962963,27.573680063041763
54,"frozenset({'ADD FRIES', 'CHICKEN SLOUVLAKI WRAP', 'BERRY BLAST'})",0.00010002572089965992,"[OrderedStatistic(items_base=frozenset({'BERRY BLAST', 'CHICKEN SLOUVLAKI WRAP'}), items_add=frozenset({'ADD FRIES'}), confidence=0.2916666666666667, lift=27.14284131205674)]","frozenset({'BERRY BLAST', 'CHICKEN SLOUVLAKI WRAP'})",frozenset({'ADD FRIES'}),0.2916666666666667,27.14284131205674
55,"frozenset({'ADD FRIES', 'TRADITIONAL ITALIAN CRUSTINI', 'CAFFE LATTE'})",0.00012860449829956274,"[OrderedStatistic(items_base=frozenset({'TRADITIONAL ITALIAN CRUSTINI', 'CAFFE LATTE'}), items_add=frozenset({'ADD FRIES'}), confidence=0.391304347826087, lift=36.41524051803886)]","frozenset({'TRADITIONAL ITALIAN CRUSTINI', 'CAFFE LATTE'})",frozenset({'ADD FRIES'}),0.391304347826087,36.41524051803886
56,"frozenset({'ADD FRIES', 'QUA  MINERAL WATER(1000ML)', 'DOPPIO'})",0.00010002572089965992,"[OrderedStatistic(items_base=frozenset({'ADD FRIES', 'DOPPIO'}), items_add=frozenset({'QUA  MINERAL WATER(1000ML)'}), confidence=0.5, lift=10.514122596153847)]","frozenset({'ADD FRIES', 'DOPPIO'})",frozenset({'QUA  MINERAL WATER(1000ML)'}),0.5,10.514122596153847
57,"frozenset({'ADD FRIES', 'ESPRESSO', 'QUA  MINERAL WATER(1000ML)'})",0.00011431510959961133,"[OrderedStatistic(items_base=frozenset({'ADD FRIES', 'ESPRESSO'}), items_add=frozenset({'QUA  MINERAL WATER(1000ML)'}), confidence=0.47058823529411764, lift=9.895644796380092)]","frozenset({'ADD FRIES', 'ESPRESSO'})",frozenset({'QUA  MINERAL WATER(1000ML)'}),0.47058823529411764,9.895644796380092
58,"frozenset({'ADD FRIES', 'QUA  MINERAL WATER(1000ML)', 'MEDITER RANEAN PANINO'})",0.00010002572089965992,"[OrderedStatistic(items_base=frozenset({'QUA  MINERAL WATER(1000ML)', 'MEDITER RANEAN PANINO'}), items_add=frozenset({'ADD FRIES'}), confidence=0.25, lift=23.26529255319149)]","frozenset({'QUA  MINERAL WATER(1000ML)', 'MEDITER RANEAN PANINO'})",frozenset({'ADD FRIES'}),0.25,23.26529255319149
59,"frozenset({'ADD FRIES', 'MOROCCAN MINT TEA', 'TRADITIONAL ITALIAN CRUSTINI'})",0.00010002572089965992,"[OrderedStatistic(items_base=frozenset({'ADD FRIES', 'MOROCCAN MINT TEA'}), items_add=frozenset({'TRADITIONAL ITALIAN CRUSTINI'}), confidence=0.28, lift=74.22333333333334), OrderedStatistic(items_base=frozenset({'MOROCCAN MINT TEA', 'TRADITIONAL ITALIAN CRUSTINI'}), items_add=frozenset({'ADD FRIES'}), confidence=0.368421052631579, lift=34.285694288913774)]","frozenset({'ADD FRIES', 'MOROCCAN MINT TEA'})",frozenset({'TRADITIONAL ITALIAN CRUSTINI'}),0.28,74.22333333333334
60,"frozenset({'ADD FRIES', 'QUA  MINERAL WATER(1000ML)', 'POUTINE WITH FRIES'})",0.0001857620530993684,"[OrderedStatistic(items_base=frozenset({'ADD FRIES', 'POUTINE WITH FRIES'}), items_add=frozenset({'QUA  MINERAL WATER(1000ML)'}), confidence=0.3023255813953488, lift=6.3573764534883725)]","frozenset({'ADD FRIES', 'POUTINE WITH FRIES'})",frozenset({'QUA  MINERAL WATER(1000ML)'}),0.3023255813953488,6.3573764534883725
61,"frozenset({'ADD FRIES', 'QUA  MINERAL WATER(1000ML)', 'TRADITIONAL ITALIAN CRUSTINI'})",0.00015718327569946557,"[OrderedStatistic(items_base=frozenset({'QUA  MINERAL WATER(1000ML)', 'TRADITIONAL ITALIAN CRUSTINI'}), items_add=frozenset({'ADD FRIES'}), confidence=0.34374999999999994, lift=31.98977726063829)]","frozenset({'QUA  MINERAL WATER(1000ML)', 'TRADITIONAL ITALIAN CRUSTINI'})",frozenset({'ADD FRIES'}),0.34374999999999994,31.98977726063829
